#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2025-12-07T20:02:09 [V7.5.3]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2025-12-07T20:02:09	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-oc.form=dec&-out.max=unlimited&-out.add=_RAJ,_DEJ&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-source=V/50/catalog&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=B-V&-out=SpType&-out=NoteFlag&	  Full request URL (POST)
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=7.5.3	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	NoteFlag	(A1)	[*] a star indicates that there is a note (see file notes)	[ucd=meta.note]
_RAJ2000|_DEJ2000|HR|Name|HD|ADS|VarID|RAJ2000|DEJ2000|Vmag|B-V|SpType|NoteFlag
deg|deg| | | | | |"h:m:s"|"d:m:s"|mag|mag| |
----------|----------|----|----------|------|-----|---------|----------|---------|-----|-----|--------------------|-
001.291250|+45.229167|   1|          |     3|   46|         |00 05 09.9|+45 13 45| 6.70| 0.07|  A1Vn              |
001.265833| -0.503056|   2|          |     6|     |         |00 05 03.8|-00 30 11| 6.29| 1.10| gG9                |
001.333750| -5.707500|   3| 33    Psc|    28|     |Var?     |00 05 20.1|-05 42 27| 4.61| 1.04|  K0IIIbCN-0.5      |*
001.425000|+13.396111|   4| 86    Peg|    87|     |         |00 05 42.0|+13 23 46| 5.51| 0.90|  G5III             |
001.566667|+58.436667|   5|          |   123|   61|V640 Cas |00 06 16.0|+58 26 12| 5.96| 0.67|  G5V               |*
001.579167|-49.075000|   6|          |   142|     |         |00 06 19.0|-49 04 30| 5.70| 0.52|  G1IV              |*
001.610417|+64.196111|   7| 10    Cas|   144|     |         |00 06 26.5|+64 11 46| 5.59|-0.03|  B9III             |*
001.653333|+29.021389|   8|          |   166|   69|   33    |00 06 36.8|+29 01 17| 6.13| 0.75|  K0V               |*
001.708750|-23.107500|   9|          |   203|     |         |00 06 50.1|-23 06 27| 6.18| 0.38|  A7V               |
001.825833|-17.386389|  10|          |   256|     |         |00 07 18.2|-17 23 11| 6.19| 0.14|  A6Vn              |*
001.933750| -2.548889|  11|          |   315|     |Var?     |00 07 44.1|-02 32 56| 6.43|-0.14|  B8IIIpSi          |*
001.945000|-22.508889|  12|          |   319|   89|   46    |00 07 46.8|-22 30 32| 5.94| 0.14|  A2Vp:             |*
002.014583|-33.529444|  13|          |   344|     |         |00 08 03.5|-33 31 46| 5.68| 1.12|  K1III             |
002.050417| -2.447778|  14|          |   352|     |AP Psc   |00 08 12.1|-02 26 52| 6.07| 1.38|  K2III+F           |*
002.097083|+29.090556|  15| 21Alp And|   358|   94|Alp And  |00 08 23.3|+29 05 26| 2.06|-0.11|  B8IVpMnHg         |*
002.072500| -8.823889|  16|          |   360|     |         |00 08 17.4|-08 49 26| 5.99| 1.04| gG8                |
002.170833|+36.626667|  17|          |   400|     |         |00 08 41.0|+36 37 36| 6.19| 0.48|  F8IV              |
002.139167|-17.577500|  18|          |   402|     |   51    |00 08 33.4|-17 34 39| 6.06| 1.67|  M0III             |*
002.217500|+25.462778|  19|          |   417|     |         |00 08 52.2|+25 27 46| 6.23| 0.97|  K0III             |
002.334167|+79.714722|  20|          |   431|  102|         |00 09 20.2|+79 42 53| 6.01| 0.19|  A7IV              |*
002.294583|+59.149722|  21| 11Bet Cas|   432|  107|Bet Cas  |00 09 10.7|+59 08 59| 2.27| 0.34|  F2III-IV          |*
002.260000|+18.211944|  22| 87    Peg|   448|     |         |00 09 02.4|+18 12 43| 5.53| 1.04|  G9III             |
002.260000|-54.001944|  23|          |   469|     |         |00 09 02.4|-54 00 07| 6.33| 0.74|  G4IV              |*
002.337500|-27.987778|  24|   Kap1Scl|   493|  111|         |00 09 21.0|-27 59 16| 5.42| 0.42|  F2V               |*
002.352917|-45.747500|  25|   Eps Phe|   496|     |         |00 09 24.7|-45 44 51| 3.88| 1.03|  K0III             |
002.509583|+11.145556|  26| 34    Psc|   560|  122|         |00 10 02.3|+11 08 44| 5.51|-0.07|  B9Vn              |*
002.580417|+46.072222|  27| 22    And|   571|     |         |00 10 19.3|+46 04 20| 5.03| 0.40|  F2II              |*
002.623750|+57.165556|  28|          |   584|     |         |00 10 29.7|+57 09 56| 6.74|-0.08|  B7IV              |
002.578333| -5.248611|  29|          |   587|     |         |00 10 18.8|-05 14 55| 5.84| 0.98|  K1III             |*
002.508750|-82.223889|  30|   Gam3Oct|   636|     |         |00 10 02.1|-82 13 26| 5.28| 1.05|  G8III             |
002.678333|-12.580000|  31|          |   645|     |         |00 10 42.8|-12 34 48| 5.85| 1.01|  K0IV              |
002.660833|-73.224444|  32|          |   661|     |         |00 10 38.6|-73 13 28| 6.64| 0.37|  F2V+F6V           |*
002.816250|-15.468056|  33|  6    Cet|   693|     |         |00 11 15.9|-15 28 05| 4.89| 0.49|  F7V               |
002.893333|-27.799722|  34|   Kap2Scl|   720|     |         |00 11 34.4|-27 47 59| 5.41| 1.34|  K5III             |
002.933333|-35.133056|  35|   The Scl|   739|     |         |00 11 44.0|-35 07 59| 5.25| 0.44|  F4V               |
002.996250|+48.152500|  36|          |   743|     |         |00 11 59.1|+48 09 09| 6.16| 1.45| gK4                |
